Income,CreditScore,EmploymentStatus,LoanAmount,RepaymentHistory,LoanStatus
141958,760,Employed,805600,Good,Eligible
35795,846,Employed,109500,Good,Eligible
20860,552,Unemployed,217647,Good,Not Eligible
123694,689,Self-Employed,286527,Poor,Eligible
148106,555,Employed,485477,Average,Not Eligible
139879,749,Employed,684947,Poor,Eligible
130268,309,Self-Employed,602004,Good,Eligible
96820,541,Employed,446452,Poor,Not Eligible
74886,550,Employed,459064,Average,Not Eligible
26265,304,Unemployed,52352,Average,Not Eligible
102386,418,Employed,183004,Average,Not Eligible
148214,673,Self-Employed,912881,Good,Eligible
57194,364,Unemployed,582844,Average,Not Eligible
107498,445,Employed,836261,Good,Eligible
132727,523,Employed,398980,Good,Eligible
146324,538,Employed,710858,Good,Eligible
64131,476,Self-Employed,781478,Poor,Not Eligible
80263,581,Self-Employed,100098,Poor,Not Eligible
36023,362,Self-Employed,424313,Poor,Not Eligible
61090,516,Employed,714929,Average,Not Eligible
87221,760,Self-Employed,297199,Good,Eligible
84820,404,Unemployed,176060,Good,Not Eligible
20769,398,Employed,237954,Good,Not Eligible
79735,810,Unemployed,775753,Good,Eligible
82955,684,Self-Employed,180544,Good,Eligible
84925,704,Self-Employed,574628,Good,Eligible
141637,817,Employed,749309,Good,Eligible
87969,775,Employed,656590,Poor,Eligible
25311,736,Employed,797028,Good,Eligible
123355,322,Employed,517243,Poor,Not Eligible
124724,757,Employed,574426,Average,Eligible
103104,382,Self-Employed,443574,Good,Eligible
73707,444,Unemployed,693907,Good,Not Eligible
105305,384,Self-Employed,518466,Good,Eligible
48693,377,Employed,921808,Good,Not Eligible
91932,756,Employed,674219,Average,Eligible
147723,300,Employed,998158,Good,Eligible
113016,350,Self-Employed,206951,Good,Eligible
126970,745,Self-Employed,917964,Good,Eligible
45658,748,Unemployed,892210,Poor,Not Eligible
104478,787,Employed,612060,Average,Eligible
142537,333,Unemployed,108478,Average,Not Eligible
38431,647,Self-Employed,507569,Good,Not Eligible
22747,394,Employed,601050,Average,Not Eligible
143855,371,Self-Employed,194355,Average,Not Eligible
79150,453,Employed,769282,Average,Not Eligible
85725,549,Employed,744780,Poor,Not Eligible
149981,737,Employed,892000,Good,Eligible
104654,417,Employed,921522,Poor,Not Eligible
55773,605,Employed,856651,Poor,Not Eligible
139346,567,Employed,893601,Good,Eligible
87435,353,Employed,543671,Good,Eligible
76886,535,Employed,649253,Poor,Not Eligible
86803,688,Employed,227912,Good,Eligible
51551,700,Employed,225767,Good,Eligible
136216,602,Employed,286281,Poor,Not Eligible
31394,506,Employed,134754,Good,Not Eligible
89092,528,Employed,652276,Good,Eligible
23890,374,Employed,501558,Good,Not Eligible
61606,734,Employed,557732,Good,Eligible
116276,402,Employed,200023,Good,Eligible
145768,721,Self-Employed,706667,Good,Eligible
100038,605,Employed,130388,Average,Not Eligible
107313,397,Employed,927200,Good,Not Eligible
30627,634,Unemployed,871860,Average,Not Eligible
28792,734,Self-Employed,289779,Average,Not Eligible
128859,746,Unemployed,928453,Good,Eligible
128557,607,Self-Employed,954850,Average,Not Eligible
93969,548,Employed,256846,Good,Eligible
63001,465,Employed,744335,Good,Not Eligible
96552,780,Employed,182212,Good,Eligible
43897,634,Employed,992346,Poor,Not Eligible
88148,841,Employed,862853,Good,Eligible
141729,405,Employed,838140,Good,Eligible
144243,380,Employed,971134,Average,Not Eligible
140923,432,Self-Employed,462811,Good,Eligible
140174,437,Self-Employed,650309,Good,Eligible
43483,483,Employed,209380,Good,Not Eligible
144358,700,Self-Employed,94789,Average,Eligible
68555,629,Employed,76086,Average,Not Eligible
145436,807,Self-Employed,329003,Good,Eligible
37159,368,Employed,581972,Good,Not Eligible
130510,845,Unemployed,141088,Good,Eligible
126530,352,Self-Employed,444423,Average,Not Eligible
100077,749,Employed,620387,Good,Eligible
55920,504,Employed,640381,Good,Not Eligible
112067,425,Employed,210761,Good,Eligible
87121,342,Employed,885083,Good,Not Eligible
89479,410,Employed,588181,Good,Eligible
109475,482,Employed,541024,Good,Eligible
39457,394,Employed,640706,Good,Not Eligible
86557,673,Self-Employed,175074,Average,Eligible
97189,819,Unemployed,939497,Good,Eligible
129109,659,Employed,180351,Poor,Eligible
98953,580,Employed,765371,Good,Eligible
72995,494,Employed,88635,Average,Not Eligible
60757,494,Self-Employed,145071,Average,Not Eligible
29692,392,Employed,515918,Good,Not Eligible
65758,360,Unemployed,914950,Good,Not Eligible
149425,350,Self-Employed,418377,Average,Not Eligible
92409,702,Employed,940083,Good,Eligible
91211,304,Employed,647093,Poor,Not Eligible
85697,765,Self-Employed,471280,Good,Eligible
57065,833,Self-Employed,959245,Poor,Not Eligible
112093,704,Employed,391207,Good,Eligible
119299,812,Employed,314598,Average,Eligible
149293,532,Self-Employed,333022,Average,Not Eligible
52606,823,Employed,232170,Average,Eligible
147791,645,Unemployed,243226,Good,Not Eligible
31534,345,Employed,194063,Average,Not Eligible
114663,845,Employed,642632,Good,Eligible
60397,377,Self-Employed,941378,Average,Not Eligible
146678,372,Employed,610881,Good,Eligible
111387,548,Employed,610592,Poor,Not Eligible
21016,346,Employed,473602,Good,Not Eligible
109789,420,Employed,760580,Average,Not Eligible
75591,513,Employed,163613,Poor,Not Eligible
109812,538,Employed,774698,Average,Not Eligible
43247,355,Employed,537505,Good,Not Eligible
44300,649,Self-Employed,464299,Good,Not Eligible
94065,406,Employed,592642,Poor,Not Eligible
102798,347,Employed,334334,Good,Eligible
29268,636,Employed,580430,Good,Not Eligible
106807,325,Unemployed,471614,Average,Not Eligible
32185,556,Self-Employed,233043,Average,Not Eligible
83704,307,Employed,878294,Good,Not Eligible
106779,552,Employed,758770,Average,Not Eligible
59099,602,Employed,200575,Average,Not Eligible
28571,355,Self-Employed,175438,Good,Not Eligible
143372,825,Self-Employed,622744,Poor,Eligible
125512,773,Self-Employed,674455,Good,Eligible
58044,327,Self-Employed,918467,Good,Not Eligible
71214,377,Self-Employed,844448,Good,Not Eligible
81228,515,Employed,314528,Good,Eligible
134752,685,Employed,243392,Poor,Eligible
68984,664,Employed,458288,Good,Eligible
60774,825,Employed,152239,Good,Eligible
22568,611,Self-Employed,685719,Good,Not Eligible
140151,306,Employed,916450,Good,Eligible
82592,302,Employed,614798,Good,Eligible
87563,662,Employed,754293,Good,Eligible
22695,807,Employed,858258,Good,Eligible
144375,573,Employed,380170,Poor,Not Eligible
68190,805,Employed,171668,Good,Eligible
25258,314,Employed,816988,Good,Not Eligible
107538,491,Employed,468734,Good,Eligible
59504,784,Employed,598333,Average,Eligible
53159,327,Employed,231948,Good,Eligible
33986,338,Employed,535662,Good,Not Eligible
81858,572,Employed,664390,Good,Not Eligible
149312,530,Employed,364063,Poor,Not Eligible
32666,385,Self-Employed,673729,Good,Not Eligible
58660,773,Employed,208175,Average,Eligible
23561,425,Employed,299877,Good,Not Eligible
46854,836,Self-Employed,186917,Good,Eligible
84505,444,Employed,267770,Average,Not Eligible
124488,824,Employed,692613,Good,Eligible
72251,511,Self-Employed,593625,Poor,Not Eligible
42662,324,Employed,727673,Poor,Not Eligible
28392,693,Employed,994447,Poor,Not Eligible
50535,366,Unemployed,390093,Good,Not Eligible
98603,532,Self-Employed,836708,Average,Not Eligible
133569,408,Employed,363295,Good,Eligible
72256,445,Employed,985115,Poor,Not Eligible
109135,410,Employed,717304,Average,Not Eligible
147478,527,Employed,889319,Average,Not Eligible
55222,410,Employed,655730,Good,Not Eligible
97373,769,Employed,99847,Good,Eligible
99575,333,Employed,108653,Good,Eligible
143684,668,Employed,791432,Average,Eligible
116354,724,Self-Employed,827949,Good,Eligible
104651,817,Self-Employed,368766,Good,Eligible
83335,581,Employed,339954,Average,Not Eligible
30965,619,Employed,127842,Good,Not Eligible
44538,742,Employed,958657,Good,Eligible
128066,614,Employed,322647,Good,Eligible
90592,676,Self-Employed,134761,Good,Eligible
118018,588,Employed,480192,Good,Eligible
133252,736,Employed,962871,Good,Eligible
28110,576,Employed,848022,Good,Not Eligible
99309,802,Employed,566637,Good,Eligible
47266,815,Employed,716246,Average,Not Eligible
72992,649,Employed,980370,Good,Not Eligible
102948,745,Unemployed,378768,Good,Eligible
142073,649,Employed,738152,Poor,Not Eligible
118806,436,Employed,452980,Good,Eligible
26910,542,Employed,831198,Good,Not Eligible
130989,842,Employed,170356,Average,Eligible
110982,339,Unemployed,267228,Poor,Not Eligible
141626,528,Employed,92727,Average,Not Eligible
139176,847,Self-Employed,390615,Average,Eligible
20206,522,Employed,582356,Average,Not Eligible
107054,305,Employed,691211,Good,Eligible
107897,621,Employed,450511,Average,Not Eligible
142409,767,Self-Employed,484376,Good,Eligible
43419,374,Employed,61390,Poor,Not Eligible
70636,303,Employed,681040,Good,Not Eligible
142546,417,Unemployed,987635,Good,Not Eligible
134238,803,Employed,406898,Good,Eligible
70015,740,Employed,388113,Average,Eligible
137478,493,Employed,720398,Good,Eligible
142096,691,Unemployed,799078,Poor,Not Eligible
127059,325,Employed,389208,Average,Not Eligible
74268,734,Self-Employed,71281,Good,Eligible
130687,472,Self-Employed,104189,Average,Not Eligible
107939,599,Employed,312093,Average,Not Eligible
